title,pmid,url,abstract
Targeted disruption of Hspa4 gene leads to cardiac hypertrophy and fibrosis,22884543,https://pubmed.ncbi.nlm.nih.gov/22884543,"Failure of molecular chaperones to direct the correct folding of newly synthesized proteins leads to the accumulation of misfolded proteins in cells. HSPA4 is a member of the heat shock protein 110 family (HSP110) that acts as a nucleotide exchange factor of HSP70 chaperones. We found that the expression of HSPA4 is upregulated in murine hearts subjected to pressure overload and in failing human hearts. To investigate the cardiac function of HSPA4, Hspa4 knockout (KO) mice were generated and exhibited cardiac hypertrophy and fibrosis. Hspa4 KO hearts were characterized by a significant increase in heart weight/body weight ratio, elevated expression of hypertrophic and fibrotic gene markers, and concentric hypertrophy with preserved contractile function. In response to pressure overload, cardiac hypertrophy and remodeling were further aggravated in the Hspa4 KO compared to wild type (WT) mice. Cardiac hypertrophy in Hspa4 KO hearts was associated with enhanced activation of gp130-STAT3, CaMKII, and calcineurin-NFAT signaling. Protein blot and immunofluorescent analyses showed a significant accumulation of polyubiquitinated proteins in cardiac cells of Hspa4 KO mice. These results suggest that the myocardial remodeling of Hspa4 KO mice is due to accumulation of misfolded proteins resulting from impaired chaperone activity. Further analyses revealed a significant increase in cross sectional area of cardiomyocytes, and in expression levels of hypertrophic markers in cultured neonatal Hspa4 KO cardiomyocytes suggesting that the hypertrophy of mutant mice was a result of primary defects in cardiomyocytes. Gene expression profile in hearts of 3.5-week-old mice revealed a differentially expressed gene sets related to ion channels, muscle-specific contractile proteins and stress response. Taken together, our in vivo data demonstrate that Hspa4 gene ablation results in cardiac hypertrophy and fibrosis, possibly, through its role in protein quality control mechanism."
Hspa4 (HSP70) is involved in the radioadaptive response: results from mouse splenocytes,12005543,https://pubmed.ncbi.nlm.nih.gov/12005543,"In a continuation of our earlier study on the involvement of HSP25 (now known as Hspb1) and HSP70 (now known as Hspa4) in the induction of an adaptive response, we examined the involvement of these proteins in the induction of the adaptive response using an animal model system. C57BL6 mice were irradiated with 5 cGy of gamma radiation three times in 1 week (for a total of 15 cGy), and a high challenge dose (6 Gy) was given on the day after the last low-dose irradiation. The survival time of the low-dose preirradiated mice was increased to 30%. The induction of apoptosis induced by 6 Gy was also reduced by this low-dose preirradiation regimen. To elucidate any link existing between the HSPs and the induction of the adaptive response, reverse transcriptase (RT)-polymerase chain reaction (PCR) analysis was performed using splenocytes. High-dose radiation up-regulated the expression of Hspb1 and especially Hspa4, while expression of other HSPs such as HSC70 (now know as Hspa8), Hsp90, and alphaB-crystalline (now known as Cryab) did not change. When splenocytes from Hspa4 transgenic mice were preirradiated with a low dose of radiation, a reduction in cell death after high-dose irradiation was observed. These results suggest that Hspa4 is a key molecule in the induction of the adaptive response."
Frameshift Mutations of HSPA4 and MED13 in Gastric and Colorectal Cancers,27129500,https://pubmed.ncbi.nlm.nih.gov/27129500,"Frameshift mutation of genes containing mononucleotide repeats is a feature of gastric (GC) and colorectal cancers (CRC) with microsatellite instability (MSI). In the public genome database, we found that human HSPA4 gene encoding a heats hock protein 70 protein (HSP70-4) and MED13 gene had mononucleotide repeats in the coding sequences that could be targets for frameshift mutation in cancers with MSI. HSP70-4 is a member of HSP70 that is known to play a role in cell survival. MED13 is a member of MED genome-wide transcription regulators that function as a regulator for diverse biological processes. In this study, we analyzed the mutations in 79 GCs and 124 CRCs including high MSI (MSI-H) and microsatellite stable/low MSI (MSS/MSI-L) cases by single-strand conformation polymorphism analysis and DNA sequencing. We found frameshift mutations of HSPA4 gene in two cancers (one GC and one CRC) and MED13 gene in the other two cancers (one GC and one CRC). The frameshift mutations were deletions of one base (c.2396delA (p.Asn799MetfsX50)) in HSPA4 and (c.2175delA (p.Lys725AsnfsX4)) in MED13. Each of HSPA4 and MED13 mutations were detected in GC with MSI-H (1/34: 2.9 %) and CRC with MSI-H (1/79: 1.3 %), but not in those with MSS. Our data show that unconventional HSPA4 and MED13 genes harbored frameshift mutations in GC and CRC with MSI. These mutations might possibly inactivate their functions and could be a feature of GC and CRC with MSI-H."
Retracted: Inhibition of DNAJC12 Inhibited Tumorigenesis of Rectal Cancer via Downregulating HSPA4 Expression,37565223,https://pubmed.ncbi.nlm.nih.gov/37565223,[This retracts the article DOI: 10.1155/2022/1027895.].
Inhibition of DNAJC12 Inhibited Tumorigenesis of Rectal Cancer via Downregulating HSPA4 Expression,36185081,https://pubmed.ncbi.nlm.nih.gov/36185081,"Background:
        

      
      Dysregulation of DnaJ heat shock protein family (HSP40) member C12 (DNAJC12) is implicated in the malignancy progression of multiple cancers. The current study aimed to determine the biology function and mechanism of DNAJC12 in rectal cancer (RC).
    





          Methods:
        

      
      RC tissues, adjacent tissues, RC cell lines, and normal colorectal epithelial cell lines were collected to analyze DNAJC12 expression. The abilities of DNAJC12 on proliferation, migration, and apoptosis of RC cells were detected by CCK-8, wound healing, and flow cytometry assays. Co-IP assays were carried out to confirm the association between DNAJC12 and HSPA4. The effect of DNAJC12 on tumor growth was detected by using the xenograft model of nude mice.
    





          Results:
        

      
      Elevation of DNAJC12 was uncovered in RC tissues and cell lines. DNAJC12 upregulation facilitated RC cell proliferation and migration and induced apoptosis, while DNAJC12 interference showed the opposite results. Besides, HSAP4 served as a potential binding protein for DNAJC12. Rescue experiments revealed that elevated of HSAP4 restored the impact of DNAJC12 silencing on the cell functions. Finally, DNAJC12 silencing hampered tumor growth of RC in vivo.
    





          Conclusion:
        

      
      In summary, this study highlighted a key player of DNAJC12 in modulating the malignant biological progression of RC via DNAJC12/HSPA4 axis, displaying a potential therapeutic target for RC."
"Unveiling the potential of HSPA4: a comprehensive pan-cancer analysis of HSPA4 in diagnosis, prognosis, and immunotherapy",38305786,https://pubmed.ncbi.nlm.nih.gov/38305786,"With the global rise in cancer incidence and mortality rates, research on the topic has become increasingly urgent. Among the significant players in this field are heat shock proteins (HSPs), particularly HSPA4 from the HSP70 subfamily, which has recently garnered considerable interest for its role in cancer progression. However, despite numerous studies on HSPA4 in specific cancer types, a comprehensive analysis across all cancer types is lacking. This study employs various bioinformatics techniques to delve into the role of HSPA4 in pan-cancer. Our objective is to assess its potential in clinical diagnosis, prognosis, and as a future molecular target for therapy. The research findings reveal significant differences in HSPA4 expression across different cancer types, suggesting its diagnostic value and close association with cancer staging and patient survival rates. Furthermore, genetic variations and methylation status of HSPA4 play critical roles in tumorigenesis. Lastly, the interaction of HSPA4 with immune cells is linked to the tumor microenvironment (TME) and immunotherapy. In summary, HSPA4 emerges as a promising cancer biomarker and a vital member of the HSPs family, holding potential applications in diagnosis, prognosis, and immunotherapy."
PANoptosis signaling enables broad immune response in psoriasis: From pathogenesis to new therapeutic strategies,38125299,https://pubmed.ncbi.nlm.nih.gov/38125299,"Background:
        

      
      Accumulating evidence suggests that regulated cell death, such as pyroptosis, apoptosis, and necroptosis, is deeply involved in the pathogenesis of psoriasis. As a newly recognized form of systematic cell death, PANoptosis is involved in a variety of inflammatory disorders through amplifying inflammatory and immune cascades, but its role in psoriasis remains elusive.
    





          Objectives:
        

      
      To reveal the role of PANoptosis in psoriasis for a potential therapeutic strategy.
    





          Methods:
        

      
      Multitranscriptomic analysis and experimental validation were used to identify PANoptosis signaling in psoriasis. RNA-seq and scRNA-seq analyses were performed to establish a PANoptosis-mediated immune response in psoriasis, which revealed hub genes through WGCNA and predicted disulfiram as a potential drug. The effect and mechanism of disulfiram were verified in imiquimod (IMQ)-induced psoriasis.
    





          Results:
        

      
      Here, we found a highlighted PANoptosis signature in psoriasis patients through multitranscriptomic analysis and experimental validation. Based on this, two distinct PANoptosis patterns (non/high) were identified, which were the options for clinical classification. The high-PANoptosis-related group had a higher response rate to immune cell infiltration (such as M1 macrophages and keratinocytes). Subsequently, WGCNA showed the hub genes (e.g., 
S100A12
, 
CYCS
, 
NOD2
, 
STAT1
, 
HSPA4
, 
AIM2
, 
MAPK7
), which were significantly associated with clinical phenotype, PANoptosis signature, and identified immune response in psoriasis. Finally, we explored disulfiram (DSF) as a candidate drug for psoriasis through network pharmacology, which ameliorated IMQ-mediated psoriatic symptoms through antipyroptosis-mediated inflammation and enhanced apoptotic progression. By analyzing the specific ligand-receptor interaction pairs within and between cell lineages, we speculated that DSF might exert its effects by targeting keratinocytes directly or targeting M1 macrophages to downregulate the proliferation of keratinocytes.
    





          Conclusions:
        

      
      PANoptosis with its mediated immune cell infiltration provides a roadmap for research on the pathogenesis and therapeutic strategies of psoriasis."
Induction of HSPA4 and HSPA14 by NBS1 overexpression contributes to NBS1-induced in vitro metastatic and transformation activity,21208456,https://pubmed.ncbi.nlm.nih.gov/21208456,"Background:
        

      
      Nijmegen breakage syndrome (NBS) is a chromosomal-instability syndrome associated with cancer predisposition, radiosensitivity, microcephaly, and growth retardation. The NBS gene product, NBS1 (p95) or nibrin, is a part of the MRN complex, a central player associated with double-strand break (DSB) repair. We previously demonstrated that NBS1 overexpression contributes to transformation through the activation of PI 3-kinase/Akt. NBS1 overexpression also induces epithelial-mesenchymal transition through the Snail/MMP2 pathway.
    





          Methods:
        

      
      RT-PCR, Western blot analysis, in vitro migration/invasion, soft agar colony formation, and gelatin zymography assays were performed.
    





          Results:
        

      
      Here we show that heat shock protein family members, A4 and A14, were induced by NBS1 overexpression. siRNA mediated knockdown of HSPA4 or HSPA14 decreased the in vitro migration, invasion, and transformation activity in H1299 cells overexpressing NBS1. However, HSPA4 or HSPA14 induced activity was not mediated through MMP2. NBS1 overexpression induced the expression of heat shock transcription factor 4b (HSF4b), which correlated with the expression of HSPA4 and HSPA14.
    





          Conclusion:
        

      
      These results identify a novel pathway (NBS1-HSF4b-HSPA4/HSPA14 axis) to induce migration, invasion, and transformation, suggesting the activation of multiple signaling events induced by NBS1 overexpression."
Involvement of heat shock protein a4/apg-2 in refractory inflammatory bowel disease,25437815,https://pubmed.ncbi.nlm.nih.gov/25437815,"Background:
        

      
      Expression of heat shock protein A4 (HSPA4, also called Apg-2), a member of the HSP110 family, is induced by several forms of stress. The physiological and pathological functions of HSPA4 in the intestine remain to be elucidated.
    





          Methods:
        

      
      We assessed HSPA4 expression and function by generating HSPA4-deficient mice and using 214 human intestinal mucosa samples from patients with inflammatory bowel disease (IBD).
    





          Results:
        

      
      In the colonic mucosa of patients with IBD, a significant correlation was observed between the expression of HSPA4 and antiapoptotic protein Bcl-2, a T-cell-derived cytokine IL-17 or stem cell markers, such as Sox2. In refractory ulcerative colitis, a condition associated with increased cancer risk, expression of HSPA4 and Bcl-2 was increased in inflammatory cells of colonic mucosae. HSPA4 was overexpressed both in cancer cells and immune cells of human colorectal cancers. Patients with high expression of HSPA4 or Bmi1 showed significantly lower response rates upon subsequent steroid therapy as compared with patients with low expression of each gene. HSPA4-deficient mice exhibit more apoptosis and less expression of IL-17/IL-23 in inflammatory cells and less number of Sox2 cells after administration of dextran sodium sulfate than control mice. Transduction of HspaA4 bone marrow into wild-type mice reduced the immune response.
    





          Conclusions:
        

      
      Upregulation of Bcl-2 and IL-17 by HSPA4 would control apoptosis of inflammatory cells and immune response in the gut, which might develop treatment resistance in IBD. HSPA4 and Bmi1 would be a useful biomarker for refractory clinical course and a promising approach for a therapeutic strategy in patients with IBD."
"Upregulation of heat shock proteins (HSPA12A, HSP90B1, HSPA4, HSPA5 and HSPA6) in tumour tissues is associated with poor outcomes from HBV-related early-stage hepatocellular carcinoma",25798051,https://pubmed.ncbi.nlm.nih.gov/25798051,"Background:
        

      
      Heat shock proteins (HSPs) are overexpressed in human hepatocellular carcinoma (HCC) tissue and correlate with aggressiveness and prognosis of HCC.
    





          Methods:
        

      
      Using the GSE14520 microarray expression profile from Gene Expression Omnibus, we compared HSP gene expression between tumour and non-tumour tissues and correlated this with outcomes in HCC patients.
    





          Results:
        

      
      We analysed 220 hepatitis B virus (HBV)-related HCC patients and 25 HSPs in this study. With the exception of HSPA4L, HSPA12A and HSPB8, members of the HSP family, including HSPH1, HSPBP1, HSPA1A, HSPA1B, HSPA1L, HSPA2, HSPA4, HSPA5, HSPA8, HSPA9, HSPAA1, HSPAB1, HSPA14, HSPB11, HSPA13, HSP90B1 and HSPBAP1, were all overexpressed in tumour tissues (all P < 0.001). In contrast, HSPB6, HSPB7, HSPA6, HSPB2 and HSPB3 were upregulated in non-tumour tissues (all P < 0.001). Multivariate analysis showed that cirrhosis (HR = 5.282, 95% CI = 1.294-21.555, P = 0.02), Barcelona Clinic liver cancer (BCLC) staging (HR = 2.151, 95% CI = 1.682-2.750, P < 0.001), HSPA12A (HR = 1.042, 95% CI = 1.003-1.082, P = 0.033) and HSP90B1 (HR = 1.001, 95% CI = 1.000-1.001, P = 0.011) were negatively associated with survival of HBV-related HCC patients. Furthermore, advanced BCLC staging (HR = 1.797, 95% CI = 1.439-2.244, P < 0.001) was also associated with earlier recurrence of HCC. The high expression of HSPA4 (HR = 1.002, 95% CI = 1.000-1.004, P = 0.019), HSPA5 (HR = 1.0, 95% CI = 1.0-1.0, P = 0.046) and HSPA6 (HR = 1.008, 95% CI = 1.001-1.015, P = 0.021) was similarly associated with HCC recurrence.
    





          Conclusions:
        

      
      The expression of most HSPs was higher in tumour tissues than in non-tumour tissues. High BCLC staging scores, advanced cirrhosis and the overexpression of HSPA12A and HSP90B1 might be associated with poor survival from HCC, whereas high levels of HSPA4, HSPA5 and HSPA6 might be associated with earlier recurrence of HCC."
Prognostic and immunological roles of heat shock protein A4 in lung adenocarcinoma,38292659,https://pubmed.ncbi.nlm.nih.gov/38292659,"Background:
        

      
      Heat shock protein A4 (HSPA4) belongs to molecular chaperone protein family which plays important roles within variable cellular activities, including cancer initiation and progression. However, the prognostic and immunological significance of HSPA4 in lung adenocarcinoma (LUAD) has not been revealed yet.
    





          Aim:
        

      
      To explore the prognostic and immunological roles of HSPA4 to identify a novel prognostic biomarker and therapeutic target for LUAD.
    





          Methods:
        

      
      We assessed the prognostic and immunological significance of HSPA4 in LUAD using data from The Cancer Genome Atlas database. The association between HSPA4 expression and clinical-pathological features was assessed through Kruskal-Wallis and Wilcoxon signed-rank test. Univariate/multivariate Cox regression analyses and Kaplan-Meier curves were employed to evaluate prognostic factors, including HSPA4, in LUAD. Gene set enrichment analysis (GSEA) was conducted to identify the key signaling pathways associated with HSPA4. The correlation between HSPA4 expression and cancer immune infiltration was evaluated using single-sample gene set enrichment analysis (ssGSEA).
    





          Results:
        

      
      Overexpressing HSPA4 was significantly related to advanced pathologic TNM stage, advanced pathologic stage, progression disease status of primary therapy outcome and female subgroups with LUAD. In addition, increased HSPA4 expression was found to be related to worse disease-specific survival and overall survival. GSEA analysis indicated a significant correlation between HSPA4 and cell cycle regulation and immune response, particularly through diminishing the function of cytotoxicity cells and CD8 T cells. The ssGSEA algorithm showed a positive correlation between HSPA4 expression and infiltrating levels of Th2 cells, while a negative correlation was observed with cytotoxic cell infiltration levels.
    





          Conclusion:
        

      
      Our findings indicate HSPA4 is related to prognosis and immune cell infiltrates and may act as a novel prognostic biomarker and therapeutic target for LUAD."
